q_num,answer,sec_num,sec_name
1,NewBuilding,01 31 06,Coordination Drawings
1,NewBuilding,01 45 33,Code Required Special Inspections and Procedures
1,NewBuilding,05 50 00,Metal Fabrications
1,NewBuilding,06 16 00,Sheathing     
1,NewBuilding,06 40 23,Interior Architectural Woodwork
1,NewBuilding,06 41 13,Wood-Veneer-Faced Architectural Cabinets
1,NewBuilding,06 41 16,Plastic-Laminate-Faced Architectural Cabinets
1,NewBuilding,07 13 26,Self-Adhering Sheet Waterproofing
1,NewBuilding,07 13 53,Elastomeric Sheet Waterproofing    
1,NewBuilding,07 13 54,Thermoplastic Sheet Waterproofing    
1,NewBuilding,07 14 13,Hot Fluid-Applied Rubberized Asphalt Waterproofing
1,NewBuilding,07 14 16,Cold Fluid-Applied Waterproofing
1,NewBuilding,07 16 13,Polymer Modified Cement Waterproofing
1,NewBuilding,07 21 00,Thermal Insulation
1,NewBuilding,07 27 15,Nonbituminous Self-Adhering Sheet Air Barriers  
1,NewBuilding,07 27 26,Fluid-Applied Membrane Air Barriers
1,NewBuilding,07 54 23,Thermoplastic Polyolefin (TPO) Roofing
1,NewBuilding,07 62 00,Sheet Metal Flashing and Trim
1,NewBuilding,07 62 10,Flexible Flashings
1,NewBuilding,07 71 00,Roof Specialties
1,NewBuilding,07 81 00,Applied Fire Protection
1,NewBuilding,08 41 13,Aluminum-Framed Entrances and Storefront
1,NewBuilding,08 41 26,All-Glass Entrances and Storefront
1,NewBuilding,08 43 13,Aluminum-Framed Storefronts
1,NewBuilding,08 44 13,Glazed Aluminum Curtainwall
1,NewBuilding,08 91 19,Fixed Louvers
1,NewBuilding,09 21 16,Gypsum Board Shaft Wall Assemblies
1,NewBuilding,09 30 13,Tiling
1,NewBuilding,10 21 13,Metal Toilet Compartments
1,NewBuilding,10 21 13,Metal Toilet Compartments
1,NewBuilding,10 21 13,Metal Toilet Compartments
1,NewBuilding,10 21 13,Metal Toilet Compartments
1,NewBuilding,10 21 13,Metal Toilet Compartments
1,NewBuilding,10 21 13,Metal Toilet Compartments
1,NewBuilding,10 21 13,Metal Toilet Compartments
1,NewBuilding,10 44 00,Fire Protection Specialties
1,NewBuilding,12 36 23,Plastic-Laminate-Clad Countertops
1,NewBuilding,12 36 61,Simulated Stone Countertops
1,NewBuilding,12 48 13,Entrance Floor Mats and Frames
1,NewBuilding,12 48 16,Entrance Floor Grilles
1,NewBuilding,12 93 13,Bicycle Racks
1,NewBuilding,14 21 23,Electric Traction MRL Elevators
1,NewBuilding,00 00 01,Cover Page
1,NewBuilding,00 01 10,Table of Contents
